FPU_Page;FPU_LG_English;FPU_LG_French;FPU_SnomedCT;FPU_DefCSP;FPU_Concepts;FPU_Concepts_Codes;FPU_DefNCI;FPU_Name;FPU_DefMSH;FPU_Code;FPU_URL
Subacute Lymphocytic Thyroiditis;Subacute lymphocytic thyroiditis, Subacute lymphocytic thyroiditis (disorder), Subacute Lymphocytic Thyroiditis;;361126006, 18018005;;Disease or Syndrome (T047);T047;;Subacute lymphocytic thyroiditis;;C1306804;http://www.fpnotebook.com/Endo/Thyroid/SbctLymphcytcThyrdts.htm
Riedel's Thyroiditis;###############################################################################################################################################################################################################################################################;Thyroïdite de Riedel, Thyroïdite ligneuse, Thyroïdite invasive;89024000, 237540002, 190298005;;Disease or Syndrome (T047);T047;;Riedel's thyroiditis;;C0154162;http://www.fpnotebook.com/Endo/Thyroid/RdlsThyrdts.htm
Riedel's Thyroiditis;###############################################################################################################################################################################################################################################################;Thyroïdite fibreuse chronique;84362007, 190298005;;Pathologic Function (T046);T046;;Fibrous autoimmune thyroiditis;;C0271813;http://www.fpnotebook.com/Endo/Thyroid/RdlsThyrdts.htm
Subclinical Hypothyroidism;###############################################################################################################################################################################################################################################################;Syndrome des maladies générales chez un euthyroïdien, Syndrome euthyroïdien, Syndrome normothyroïdien;237542005;;Disease or Syndrome (T047);T047;;Euthyroid Sick Syndromes;###############################################################################################################################################################################################################################################################;C0015190;http://www.fpnotebook.com/Endo/Thyroid/SbclnclHypthyrdsm.htm
Multinodular Goiter;"MULTINODULAR TOXIC GOITER, PARRY DISEASE, Thyrotox + tox multinod goiter, Thyrotox + tox multinod goitre, Thyrotoxic - multinodul goiter, Thyrotoxic - multinodul goitre, Toxic multinodular goiter NOS, Toxic multinodular goitre NOS, toxic multinodular goiter, toxic multinodular goiter (diagnosis), Toxic multinodular goitre (disorder), THYROID GOITER TOXIC MULTINODULAR, Toxic multinodular goiter NOS (disorder), parry disease, multinodular toxic goiter, Goitre;multinodular;toxic, multinodular toxic goitre, Toxic multinodular goiter, Secondary thyroid hyperplasia, Thyrotoxicosis due to multinodular goiter, Thyrotoxicosis due to multinodular goitre, Thyrotoxicosis with toxic multinodular goiter, Thyrotoxicosis with toxic multinodular goitre, Toxic multinodular goitre, Toxic multinodular goiter (disorder), Parry, goiter; thyrotoxicosis, multinodular, multinodular; goiter, toxic or with hyperthyroidism, nodular; goiter, with thyrotoxicosis, struma; multinodular, toxic or with hyperthyroidism, struma; nodular, with thyrotoxicosis, struma; thyrotoxicosis, nodular, struma; toxic, multinodular, thyrotoxicosis; goiter, multinodular, thyrotoxicosis; goiter, nodular, toxic; goiter, multinodular, Goiter;multinodular;toxic, toxic multinodular goitre";Goitre multinodulaire toxique;154658002, 190249001, 26389007;;Disease or Syndrome (T047);T047;;Toxic multinodular goiter;;C0154143;http://www.fpnotebook.com/Endo/Thyroid/MltndlrGtr.htm
Multinodular Goiter;###############################################################################################################################################################################################################################################################;;237570007;;Disease or Syndrome (T047);T047;;Multinodular goiter;;C0342208;http://www.fpnotebook.com/Endo/Thyroid/MltndlrGtr.htm
Multinodular Goiter;###############################################################################################################################################################################################################################################################;Goitre multinodulaire non toxique;154653006, 36241006;;Disease or Syndrome (T047);T047;;Non-toxic multinodular goiter;;C0271761;http://www.fpnotebook.com/Endo/Thyroid/MltndlrGtr.htm
Subclinical Hyperthyroidism;###############################################################################################################################################################################################################################################################;;124773007, 131017004;;Finding (T033);T033;;Decreased thyroid stimulating hormone level;;C1295607;http://www.fpnotebook.com/Endo/Thyroid/SbclnclHyprthyrdsm.htm
Hypothyroidism;###############################################################################################################################################################################################################################################################;HYPOTHYROIDIE, Hypothyroïdisme non précisé, Activité thyroïdienne diminuée, DIMINUTION ACTIVITE THYROIDIENNE, Hypothyréose, Hypothyroïdie, Hypothyroïdisme;237572004, 267377003, 40930008, 154660000, 190274003, 267465007, 190290003;"deficiency of thyroid gland activity; characterized by decreased basal metabolic rate, fatigue and lethargy, sensitivity to cold, and menstrual disturbances; untreated it progresses to myxedema; in infants severe hypothyroidism leads to cretinism.";Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Hypothyroidism;###############################################################################################################################################################################################################################################################;C0020676;http://www.fpnotebook.com/Endo/Thyroid/Hypthyrdsm.htm
Hypothyroidism;Myxedema, Myxedemas, MYXOEDEMA, Myxedema, NOS, Hypothyroidism/myxedema, Myxoedema, NOS, MYXEDEMA, myxedema, myxedema (diagnosis), Myxedema NOS, Myxedema [Disease/Finding], Myxoedema, Myxedema (disorder), Hypothyroidism/myxoedema, myxoedema;MYXOEDEME, Hypothyroidie/myxoedeme, Myxoedème;43153006, 154660000, 190274003, 267465007;"condition characterized by a dry, waxy type of swelling with abnormal deposits of mucin in the skin and other tissues; it is produced by a functional insufficiency of the thyroid gland, resulting in deficiency of thyroid hormone.";Disease or Syndrome (T047);T047;;Myxedema;###############################################################################################################################################################################################################################################################;C0027145;http://www.fpnotebook.com/Endo/Thyroid/Hypthyrdsm.htm
Hyperthyroidism Management;###############################################################################################################################################################################################################################################################;HYPERTHYROIDIE, Hyperthyréose, Hyperthyroïdie, Hyperthyroïdisme;34486009, 154655004, 190239004, 267464006;excessive functional activity of the thyroid gland.;Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Hyperthyroidism;Hypersecretion of THYROID HORMONES from the THYROID GLAND. Elevated levels of thyroid hormones increase BASAL METABOLIC RATE.;C0020550;http://www.fpnotebook.com/Endo/Thyroid/HyprthyrdsmMngmnt.htm
Hashimoto's Thyroiditis;Hurthle Cell, Oxyphil cell of thyroid, Thyroid gland oxyphil cell, hurthle cells, hurthle cell, cells hurthles, Askenazy Cells, Cells, Askenazy, Cells, Hurthle, Thyroid Gland Oxyphil Cell, Thyroid Gland Oxyphilic Cell, Hurthle Cells;Cellule de Hürthle, Cellules de Hürthle;;;Cell (T025);T025;A large, granular eosinophilic cell derived from thyroid follicular epithelium by accumulation of mitochondria;Hurthle Cells;Oxyphil cells in the thyroid gland are known as Hurthle cells and Askenazy cells.;C0949667;http://www.fpnotebook.com/Endo/Thyroid/HshmtsThyrdts.htm
